GR1,Lipton Green Tea,Green tea is a type of tea that is made from Camellia sinensis leaves and buds that have not undergone the same withering and oxidation process which is used to make oolong teas and black teas.,Lipton,EUR,3.99,teas,712,https://i.imgur.com/5v38t1p.png
GR2,Forte Green Tea,Green tea originated in China and has since spread to other countries in East Asia.,Forte,EUR,3.49,teas,922,https://i.imgur.com/9YUNUz9.jpg
GR3,David Green Tea,"Green tea is typically green, yellow or light brown in color, and its flavor profile can range from grass-like and toasted (pan fired) to vegetal, sweet and seaweed-like (steamed).",David,EUR,4.99,teas,77,https://i.imgur.com/VrCxMuF.png
CF1,Arabica Coffee,A species of flowering plant in the coffee and madder family Rubiaceae.,Carte Noire,EUR,6.49,coffees,596,https://i.imgur.com/cnbp06x.png
CF2,Robusta Coffee,A species of coffee that has its origins in central and western sub-Saharan Africa. It is a species of flowering plant in the family Rubiaceae.,Carte Noire,EUR,7.99,coffees,462,https://i.imgur.com/KmE8q0g.png
CF3,Decaf Coffee,"Decaffeination is the removal (""de-"") of caffeine from coffee beans, cocoa, tea leaves, and other caffeine-containing materials.",Carte Noire,EUR,4.99,coffees,74,https://i.imgur.com/T3rnPlq.png
SR1,Strawberries,"The garden strawberry (or simply strawberry; Fragaria × ananassa) is a widely grown hybrid species of the genus Fragaria, collectively known as the strawberries, which are cultivated worldwide for their fruit.",Camarillo,EUR,5.00,fruits,77,https://i.imgur.com/rkiIiG9.png
SR2,Organic Strawberries,"The fruit is widely appreciated for its characteristic aroma, bright red color, juicy texture, and sweetness.",Camarillo,EUR,7.5,fruits,839,https://i.imgur.com/JU4C1Y2.png
BA1,Bananas,"Bananas are elongated, edible fruits produced by several kinds of large herbaceous flowering plants in the genus Musa.",Danon,EUR,1.49,fruits,244,https://i.imgur.com/kvci3f1.png
BA2,Organic Bananas,"Bananas are soft, sweet, and a convenient source of some important nutrients.",Danon,EUR,1.99,fruits,220,https://i.imgur.com/kJ928E1.png
BR1,Broccoli,"Broccoli (Brassica oleracea var. italica) is an edible green plant in the cabbage family (family Brassicaceae, genus Brassica) whose large flowering head, stalk and small associated leaves are eaten as a vegetable.",Soma Veggies,EUR,1.75,vegetables,83,https://i.imgur.com/3Avs08s.png
BR2,Organic Broccoli,Broccoli is classified in the Italica cultivar group of the species Brassica oleracea.,Soma Veggies,EUR,2,vegetables,401,https://i.imgur.com/C6VbNxq.png
ZU1,Zucchini,"The zucchini (/zuˈkiːni/ ⓘ; PL: zucchini or zucchinis), courgette (/kʊərˈʒɛt/) or baby marrow (Cucurbita pepo) is a summer squash, a vining herbaceous plant whose fruit are harvested when their immature seeds and epicarp (rind) are still soft and edible.",Soma Veggies,EUR,1.35,vegetables,612,https://i.imgur.com/Js46d0S.png
ZU2,Organic Zucchini,"The zucchini (/zuˈkiːni/ ⓘ; PL: zucchini or zucchinis), courgette (/kʊərˈʒɛt/) or baby marrow (Cucurbita pepo) is a summer squash, a vining herbaceous plant whose fruit are harvested when their immature seeds and epicarp (rind) are still soft and edible.",Soma Veggies,EUR,1.55,vegetables,434,https://i.imgur.com/JjhL9MX.png
MI1,Whole Milk,"Whole milk, also known as regular milk, is a type of milk that has not been altered in fat content.",Moo Farms,EUR,2.23,dairy,30,https://i.imgur.com/wsxa7pO.png
MI2,Oat Milk,Oat milk is a plant milk derived from whole oat (Avena spp.) grains by extracting the plant material with water.,Oatly,EUR,1.79,dairy,709,https://i.imgur.com/AbKpoks.png
BE1,Beef Steak,"A beefsteak, often called just steak, is a flat cut of beef with parallel faces, usually cut perpendicular to the muscle fibers",Moo Farms,EUR,5.99,meats,704,https://i.imgur.com/SQbkRnv.png
BE2,Minced Beef,"Ground beef, minced beef or beef mince is beef that has been finely chopped with a knife, meats grinder (American English), mincer or mincing machine (British English).",Moo Farms,EUR,4.99,meats,727,https://i.imgur.com/lyZ85Dj.png
CH1,Tortilla Chips,"A tortilla chip is a snack food made from corn tortillas, which are cut into triangles and then fried or baked (alternatively they may be discs pressed out of corn masa then fried or baked).",Lays,EUR,1.55,snacks,818,https://i.imgur.com/kOQ8SAI.png
CH2,Potato Chips,"A potato chip (North American English and Australian English; often just chip) or crisp (British and Irish English) is a thin slice of potato that has been deep fried, baked, or air fried until crunchy.",Lays,EUR,1.75,snacks,126,https://i.imgur.com/zdLCtZb.png
